sex,sat_v,sat_m,hs_gpa,fy_gpa
1,44,44,3.0,1.03
2,51,54,4.0,3.42
2,54,69,4.0,3.31
1,68,69,3.5,2.31
1,56,67,4.0,2.61
1,41,49,2.0,0.0
1,62,71,3.7,3.24
2,55,57,4.0,3.48
2,34,37,2.8,2.26
2,49,43,3.25,2.4
2,49,62,3.75,3.76
2,49,61,2.75,1.14
1,42,65,2.25,1.47
1,49,48,3.0,2.0
2,57,45,2.25,1.13
2,43,47,2.5,1.7
1,40,46,2.0,1.14
1,49,54,3.2,2.54
1,56,46,2.5,1.64
1,38,50,2.5,2.95
1,58,64,3.0,3.17
2,41,47,4.0,1.12
2,42,51,2.5,1.72
1,53,51,2.3,1.91
2,53,41,2.9,3.0
2,53,59,2.75,3.2
1,62,69,3.0,3.25
2,59,69,3.2,2.26
2,45,45,3.0,2.73
1,58,57,3.4,2.47
2,62,57,4.0,3.19
2,37,55,3.5,1.38
2,53,56,3.25,2.8
1,50,63,3.4,2.52
2,45,63,2.75,2.53
2,35,41,2.0,2.24
2,35,32,2.25,1.43
2,44,41,2.5,2.06
2,52,53,3.5,3.52
1,41,43,2.25,1.58
2,32,38,2.2,0.82
1,65,64,2.5,2.21
1,50,48,2.0,1.18
1,58,57,2.5,3.64
1,42,50,2.7,2.37
1,39,43,2.25,1.18
1,53,70,4.0,3.19
1,49,54,3.0,1.59
1,52,66,3.75,3.14
1,51,56,2.75,3.63
1,58,57,3.0,3.13
1,56,64,4.0,3.09
1,40,58,2.75,2.21
2,63,56,4.0,2.86
1,48,53,2.67,1.16
2,53,62,4.0,3.89
2,73,60,4.0,3.89
1,47,41,3.0,1.45
1,57,49,3.0,2.69
2,44,56,2.6,2.27
2,49,54,3.33,2.25
2,62,57,4.0,3.36
1,50,68,3.0,2.32
2,61,49,4.0,2.91
2,64,59,4.0,3.77
1,48,64,3.8,3.04
1,36,53,2.75,1.44
2,42,60,3.8,2.07
1,54,61,3.25,2.69
2,49,51,3.75,2.67
1,54,51,3.5,1.97
1,43,49,2.25,1.08
1,31,46,2.0,0.92
2,39,33,3.5,1.7
2,55,59,3.25,3.0
2,53,57,3.75,3.34
1,47,45,3.75,1.69
1,69,61,4.0,3.37
2,55,38,2.75,1.52
1,44,55,3.75,2.73
2,53,50,3.25,1.91
2,68,62,3.7,2.98
2,39,35,3.1,2.33
1,40,45,3.0,1.79
1,44,54,3.75,3.48
2,52,52,3.0,1.63
2,59,49,3.0,2.33
2,63,54,3.75,3.35
1,62,71,4.0,3.43
1,48,41,2.3,1.71
1,52,52,3.75,3.19
1,43,50,2.5,1.69
1,47,64,4.0,3.08
2,33,32,3.0,1.43
2,67,54,3.25,2.79
2,51,41,3.5,1.7
2,43,52,4.0,3.23
2,40,42,3.5,2.12
1,50,58,4.0,3.67
2,76,57,4.0,3.94
2,47,50,3.5,1.4
2,45,49,3.4,1.9
2,41,38,3.6,1.56
1,56,54,4.0,1.85
1,57,58,3.0,3.0
1,36,52,3.4,2.37
1,38,50,3.75,2.31
1,59,66,4.0,3.77
2,40,51,3.8,2.35
1,58,62,4.0,3.79
2,52,52,3.75,2.54
2,64,53,3.0,2.19
2,42,47,3.0,2.36
1,41,52,2.2,2.05
2,38,49,3.25,2.19
2,50,55,3.25,1.8
2,66,52,2.8,3.23
2,41,59,3.3,0.48
1,46,62,2.1,2.02
2,59,51,3.4,2.44
1,45,49,2.4,1.77
1,46,58,3.7,3.2
2,50,58,2.7,2.15
1,50,60,3.5,2.6
2,58,57,3.6,3.38
1,56,50,2.5,0.55
1,46,57,4.0,3.76
2,47,48,3.25,3.06
2,45,51,3.1,1.7
1,55,65,2.1,2.62
2,53,56,2.8,1.65
2,51,55,3.5,1.89
2,42,39,3.1,0.77
1,50,65,2.9,3.24
1,46,57,2.8,2.93
2,69,55,4.0,3.57
2,55,53,2.8,2.72
2,48,53,3.3,2.4
1,52,46,2.5,2.03
1,53,52,2.7,2.21
1,58,60,2.3,2.15
2,50,48,2.6,1.75
2,44,50,2.75,2.04
2,39,51,2.75,1.15
2,45,53,2.5,1.79
2,63,64,3.8,3.63
2,47,47,2.7,2.0
2,62,56,3.25,3.13
2,44,57,2.3,2.67
1,39,38,3.2,2.24
2,42,42,2.9,3.04
2,48,43,2.8,3.27
1,41,45,3.4,3.28
1,50,59,2.5,2.56
1,48,63,3.8,2.85
2,50,62,3.3,3.38
1,57,62,3.2,2.84
2,47,55,3.3,3.22
1,57,66,2.6,2.24
1,36,56,3.1,2.08
1,42,51,3.1,2.67
2,49,38,3.2,2.13
1,62,75,3.8,3.55
1,42,66,3.3,1.5
1,47,53,2.8,2.54
2,49,58,3.5,1.19
1,45,53,2.2,2.08
2,39,42,2.75,0.0
1,43,50,3.25,1.69
1,39,50,3.0,2.26
2,54,56,3.7,3.13
2,47,46,2.9,1.73
2,38,43,2.7,2.58
2,39,63,2.8,2.09
1,55,70,3.7,3.0
2,54,61,3.0,2.04
1,65,60,3.5,2.94
2,44,43,4.0,2.31
1,56,59,3.75,2.63
2,51,61,3.5,2.79
1,40,58,2.9,1.9
2,47,50,3.5,3.0
2,52,51,2.8,1.83
1,48,54,2.8,2.33
1,50,58,3.2,3.24
1,53,59,3.2,2.7
1,54,44,2.7,1.5
1,51,42,3.0,3.0
1,53,59,2.4,2.34
2,58,66,4.0,3.44
2,48,60,3.0,1.88
1,57,60,2.1,2.86
2,40,34,2.75,2.56
1,41,40,2.0,1.49
1,49,57,2.8,2.5
2,49,50,2.9,1.83
1,55,57,2.5,2.38
1,37,40,3.1,1.82
1,43,46,2.8,2.12
1,47,59,3.1,2.59
1,53,57,3.0,2.59
2,40,50,3.1,2.02
2,45,48,3.7,2.93
2,46,47,2.9,2.24
1,54,54,2.5,2.19
1,41,60,3.4,1.95
1,64,64,4.0,3.54
2,62,61,3.75,2.86
1,48,56,3.8,2.17
2,46,49,3.4,2.3
1,36,64,3.5,2.48
2,40,48,3.5,3.02
2,46,60,3.5,3.14
1,55,60,2.7,2.22
1,51,36,2.9,3.27
2,42,35,2.5,2.47
2,50,53,2.8,2.85
2,50,52,4.0,3.77
1,41,50,2.7,2.91
1,50,53,3.5,2.61
2,50,53,4.0,3.78
1,46,54,2.9,1.19
2,60,62,3.2,2.37
1,49,65,3.7,3.69
1,43,59,2.7,1.73
2,50,47,2.7,2.48
2,49,60,3.0,2.35
1,52,50,3.5,1.95
2,62,52,3.2,3.46
2,47,56,2.8,2.27
2,41,57,2.5,2.14
1,43,64,2.5,3.34
2,46,48,3.3,2.42
1,52,67,3.3,3.22
1,47,71,2.4,1.3
1,47,61,3.2,1.79
2,32,54,3.0,2.8
2,45,45,2.6,2.8
1,59,59,2.4,0.8
2,52,40,3.5,2.45
2,46,56,3.7,2.33
1,31,51,2.7,1.76
2,35,48,3.0,2.88
1,45,57,3.1,2.52
1,54,53,3.2,1.54
2,43,47,3.7,2.66
2,52,50,3.9,3.16
1,49,58,3.8,1.94
2,45,49,3.1,2.91
2,62,51,2.9,2.37
1,61,64,4.0,3.67
1,50,59,4.0,4.0
1,46,53,2.6,2.94
2,39,64,2.9,1.37
1,42,46,2.75,2.13
2,46,57,3.3,2.68
1,40,62,2.7,2.71
1,45,35,2.4,1.57
1,53,56,2.5,2.38
2,67,59,3.4,1.16
2,59,58,3.9,2.81
2,47,58,3.4,2.52
2,39,45,2.5,1.72
2,39,53,2.9,2.23
1,54,58,3.0,1.43
1,46,52,2.5,1.54
2,59,56,3.8,3.24
1,48,60,3.6,2.18
1,43,51,2.3,1.77
1,48,62,3.4,2.16
2,34,53,3.5,2.49
2,54,61,4.0,3.74
1,46,57,2.8,3.29
2,36,43,2.9,1.37
1,53,59,4.0,3.83
2,64,66,3.7,2.9
1,54,58,2.8,2.2
1,57,55,2.7,2.11
2,51,33,2.5,3.15
2,46,53,3.4,2.65
2,45,43,3.0,1.98
2,55,58,3.8,2.93
2,49,55,3.7,3.1
2,46,50,3.7,3.34
2,49,62,3.6,2.75
2,50,52,3.4,2.9
1,57,58,4.0,2.06
2,42,40,3.2,1.87
1,55,48,3.2,2.8
2,54,40,2.6,1.38
2,50,62,3.9,2.37
1,29,58,2.7,0.9
1,39,58,2.5,2.38
2,39,38,2.6,1.62
1,43,43,2.9,1.42
2,34,40,2.8,1.52
2,49,57,3.7,2.65
1,38,60,2.9,1.92
2,54,53,3.3,0.66
1,43,68,3.8,1.85
1,49,55,2.2,2.36
1,44,57,3.3,1.86
1,46,44,2.7,1.35
2,47,57,2.9,2.8
1,56,53,2.8,2.24
2,43,51,3.8,2.17
1,57,57,3.3,3.22
2,39,49,3.1,2.02
2,41,52,2.9,1.52
1,33,57,2.8,2.27
2,39,49,2.6,2.85
1,36,59,2.9,2.62
2,42,59,3.5,2.54
2,58,51,3.8,3.76
1,41,57,2.9,1.71
1,41,59,3.3,1.88
2,46,55,3.3,2.54
2,50,57,3.2,2.25
1,39,49,2.9,1.32
2,44,33,3.5,2.71
2,57,59,3.3,2.67
1,55,57,3.4,2.0
2,44,58,3.7,3.26
2,37,38,2.9,1.51
2,47,48,2.7,2.33
1,53,60,3.8,2.82
2,43,58,3.8,3.51
1,45,47,3.7,1.0
2,48,49,3.75,3.27
1,49,54,2.8,0.73
1,49,55,4.0,3.17
2,47,54,4.0,2.69
2,32,57,2.7,0.52
1,37,50,2.2,1.77
1,40,57,3.7,2.35
1,55,55,2.9,2.06
1,53,57,3.4,2.23
2,47,47,2.6,1.67
2,58,71,4.0,3.16
1,35,53,3.9,2.24
2,47,46,3.7,2.71
1,52,64,3.9,3.98
1,36,48,2.8,2.2
2,38,47,2.5,2.88
1,54,57,3.4,3.0
2,41,44,3.7,1.55
1,45,58,3.9,2.0
1,24,29,2.47,2.19
2,59,62,3.5,3.86
1,45,55,2.8,1.47
2,59,62,4.0,3.94
1,37,58,2.4,1.37
1,44,59,3.5,3.08
1,54,64,3.8,1.95
2,59,62,3.8,3.52
1,48,55,3.2,1.74
2,44,59,3.2,3.17
2,61,56,3.5,2.67
1,49,55,2.3,2.14
1,53,52,3.0,2.54
2,55,49,2.3,1.98
2,46,45,2.3,2.04
1,49,57,2.1,1.7
1,53,62,3.7,1.8
1,70,74,4.0,4.0
2,48,52,3.9,4.0
2,36,41,3.0,0.61
2,49,57,3.8,3.34
2,48,56,3.7,2.92
1,53,62,3.8,3.62
1,66,67,3.2,3.07
2,41,57,3.4,3.0
1,42,62,3.2,2.43
2,38,45,3.4,3.11
1,43,57,3.1,1.5
2,49,54,3.7,2.58
2,53,40,3.33,2.24
1,40,55,2.1,1.96
1,45,56,2.5,2.23
2,53,51,2.8,2.24
1,43,57,2.9,2.76
2,49,52,3.1,2.59
1,41,52,2.1,1.68
2,38,47,3.1,2.92
1,55,56,2.8,2.31
1,41,57,3.5,2.56
2,39,55,3.8,2.73
2,63,49,3.4,3.11
2,43,44,2.8,1.83
1,47,47,2.6,2.88
1,39,57,3.0,3.14
1,46,51,2.6,1.87
2,45,52,3.1,2.27
2,51,55,3.4,2.56
1,40,44,3.1,2.35
2,42,55,3.4,3.02
1,50,60,3.8,2.44
1,50,58,3.7,1.33
1,56,52,3.25,1.13
1,54,52,3.4,3.4
2,48,36,2.7,1.96
1,53,49,3.5,1.96
1,48,58,3.8,3.17
2,45,58,3.2,1.6
2,50,52,3.0,2.37
1,52,53,3.5,1.43
2,62,48,3.2,2.74
1,46,48,3.2,1.95
1,42,50,3.1,2.42
2,48,52,3.6,3.04
1,51,59,2.5,3.0
2,50,42,3.5,3.73
2,55,48,3.1,3.17
1,56,63,3.0,1.57
1,52,60,3.2,1.71
1,51,57,2.5,2.09
2,41,49,2.6,3.4
1,33,38,3.5,2.1
2,47,43,2.6,1.66
2,54,49,3.5,3.16
1,55,56,3.7,2.09
2,49,57,3.7,3.6
1,45,57,2.7,0.85
1,57,59,3.3,1.88
1,45,54,3.5,2.53
1,60,60,3.7,1.82
1,41,52,2.7,1.33
2,47,51,2.56,2.81
1,44,43,1.8,1.49
2,49,55,3.5,2.51
2,68,51,3.1,1.61
2,39,41,2.7,1.65
2,33,37,2.8,1.7
2,50,54,3.6,3.13
2,46,58,3.5,2.6
2,35,40,3.25,1.87
1,26,50,3.2,2.24
2,36,55,2.8,1.6
2,51,54,3.7,2.98
2,47,51,3.9,3.6
1,47,50,3.1,1.43
1,44,62,3.7,3.02
1,50,50,3.1,3.15
1,34,52,3.3,2.0
2,33,46,2.6,1.57
2,38,34,2.8,1.78
2,46,59,3.6,2.77
1,42,56,3.8,3.25
1,59,55,3.5,3.3
1,42,37,4.5,1.13
2,50,53,3.9,3.17
2,41,55,3.4,2.04
2,42,53,3.0,1.69
1,41,65,2.5,1.8
2,52,62,3.5,2.29
1,62,67,4.0,3.41
2,36,38,3.5,2.0
2,47,56,4.0,3.11
1,38,58,2.7,2.38
1,45,63,3.3,2.62
2,63,63,3.8,3.71
1,44,50,3.8,3.27
1,42,61,2.5,2.4
1,51,63,2.5,3.25
1,57,59,3.3,1.98
1,49,61,3.5,3.04
1,37,64,4.0,2.8
1,62,71,4.0,4.0
1,47,59,2.5,1.78
1,55,65,3.0,2.54
2,43,42,2.8,1.92
1,56,74,4.0,3.48
2,52,48,2.74,1.62
1,47,60,3.5,2.56
2,51,50,3.3,3.35
1,41,66,2.7,2.0
2,43,42,3.0,1.97
1,58,51,3.0,3.21
1,47,37,2.6,0.67
1,41,57,3.5,2.38
1,42,50,2.3,1.86
2,50,43,2.3,2.53
1,55,55,4.0,1.44
1,45,59,3.5,2.19
2,35,42,2.8,1.44
1,43,50,3.4,2.36
1,48,44,3.0,2.21
2,40,57,3.0,2.6
1,44,58,3.25,0.36
1,47,61,3.3,2.47
2,43,47,3.5,2.16
2,39,53,2.7,1.63
1,47,57,2.8,1.83
2,34,69,2.1,2.66
2,49,48,3.3,3.04
2,47,45,2.4,2.54
2,43,53,2.6,2.02
1,61,49,2.2,1.49
1,48,55,3.8,1.13
2,37,46,3.1,2.02
2,51,50,3.7,2.9
2,35,60,2.75,1.81
2,47,67,3.6,4.0
1,41,37,2.0,2.0
2,43,42,2.75,2.54
2,49,48,4.0,2.65
1,58,77,4.0,3.43
2,47,45,3.7,2.91
1,47,53,4.0,3.21
1,37,52,2.5,1.75
1,36,36,2.3,3.12
2,56,58,3.0,2.09
2,47,58,3.5,2.11
1,56,50,3.3,2.56
2,43,54,3.2,2.56
2,45,48,3.0,1.24
1,55,60,3.0,2.8
1,55,35,2.6,2.17
2,46,47,3.4,2.42
2,39,51,3.6,3.56
2,50,58,3.3,3.24
2,45,57,3.6,3.42
1,52,66,3.8,2.53
2,47,47,2.8,2.38
1,48,47,2.4,2.24
1,35,53,2.7,2.12
2,46,58,2.8,2.63
2,54,47,2.5,1.98
2,50,50,3.2,1.69
1,58,59,4.0,2.47
1,49,60,4.0,2.34
2,43,47,2.67,2.58
1,42,52,3.0,2.0
1,46,51,2.7,1.63
2,52,55,3.5,3.37
1,45,46,2.8,1.64
1,62,60,3.8,2.88
2,58,62,4.0,3.12
2,57,55,4.0,2.33
2,60,59,3.0,2.45
1,43,51,2.5,2.22
1,51,65,3.5,2.17
1,37,55,2.3,2.44
1,49,48,3.1,2.98
2,44,54,2.7,2.29
2,44,52,3.5,2.56
2,27,38,2.5,1.8
1,48,55,3.1,2.43
1,41,59,3.5,2.61
2,35,58,3.1,3.09
1,46,54,2.6,2.53
1,52,64,2.7,2.48
1,61,60,3.5,3.94
1,48,64,3.4,2.86
2,58,58,2.9,2.31
1,44,40,2.6,2.18
1,49,57,3.25,3.07
1,40,45,2.1,1.64
2,52,60,3.0,2.7
1,36,50,3.5,2.08
2,57,55,4.0,3.51
2,48,62,4.0,3.63
1,39,44,3.0,1.63
2,54,61,4.0,3.76
2,57,47,2.8,2.96
1,40,48,3.25,2.83
1,35,40,3.0,1.36
1,61,65,3.8,2.91
1,50,57,3.2,2.65
2,41,52,3.0,2.56
1,49,68,3.0,1.89
1,50,57,2.8,2.04
1,60,64,3.25,2.67
1,54,72,3.75,3.29
1,41,56,2.6,1.74
1,44,41,2.8,2.98
1,44,55,2.5,2.28
2,50,42,2.4,1.21
1,40,52,2.5,1.24
2,55,54,3.5,3.47
2,47,44,3.1,2.37
2,38,57,4.0,3.49
1,56,47,2.7,1.41
2,49,52,4.0,2.04
1,58,60,3.7,3.49
1,51,64,2.6,1.7
1,42,53,2.5,1.19
2,52,49,3.6,3.63
2,48,51,3.9,2.98
1,48,62,3.4,2.35
2,53,52,3.6,2.38
2,57,57,3.8,2.38
1,44,57,3.2,2.4
2,29,60,2.5,1.92
1,54,45,3.7,2.86
1,41,63,3.25,2.9
2,42,59,3.7,3.44
2,53,65,2.9,1.88
2,49,38,2.8,2.52
1,48,54,4.0,1.17
1,60,65,2.9,3.16
1,45,57,3.25,1.64
2,46,44,2.75,2.17
2,31,41,2.67,1.62
1,49,60,3.0,2.37
1,47,43,3.0,3.19
1,50,50,3.0,2.29
2,59,69,4.0,3.41
1,58,61,4.0,3.24
2,48,60,3.3,2.64
1,52,57,3.5,3.35
1,47,50,2.75,1.87
2,45,55,2.7,1.5
2,37,59,4.0,2.98
1,56,65,3.1,2.95
2,52,52,2.8,2.2
2,65,57,3.8,3.11
2,42,49,4.0,3.12
2,48,51,3.3,2.69
2,45,58,4.0,2.91
1,52,62,2.6,2.67
1,51,57,3.2,2.49
1,46,65,2.5,2.98
1,50,72,3.1,3.06
1,52,61,3.1,2.18
1,52,68,4.0,3.5
2,45,50,2.8,2.1
2,54,50,3.4,3.8
2,50,60,3.25,1.8
1,41,63,4.0,2.14
2,44,54,3.3,3.4
2,45,48,2.8,2.66
2,41,64,3.5,2.36
1,45,43,2.9,1.98
1,45,49,3.0,1.62
1,56,53,3.2,2.03
2,54,53,2.3,1.84
1,50,67,3.0,2.02
1,58,63,3.5,3.15
1,51,35,2.75,1.54
2,48,45,2.8,2.6
2,41,50,3.8,2.58
2,51,61,3.5,3.11
2,39,34,2.7,1.19
2,54,53,3.5,2.23
2,44,53,2.2,1.78
2,52,44,3.0,2.24
2,53,37,3.3,2.29
1,37,67,2.9,2.38
1,35,48,2.2,0.95
1,45,53,2.4,2.05
2,43,47,3.1,2.49
1,49,59,3.3,1.12
2,37,43,2.03,1.31
2,41,43,3.3,2.38
2,40,45,3.0,2.74
1,48,64,3.0,4.0
1,44,59,3.8,2.66
1,54,60,3.5,2.96
2,63,42,2.1,1.88
1,47,55,2.7,1.4
2,56,52,3.5,3.31
2,50,50,3.75,3.3
1,64,64,4.0,3.21
2,42,59,3.25,3.22
1,43,48,2.8,2.28
1,43,49,3.2,2.52
1,52,52,4.0,2.62
2,34,50,2.0,2.0
2,44,45,3.6,2.02
2,42,43,2.4,2.24
2,47,48,4.0,3.12
1,52,52,2.75,2.28
2,49,59,3.0,2.13
2,38,48,2.7,1.55
2,62,56,3.7,2.4
1,61,45,2.6,1.59
1,44,55,3.0,2.94
2,55,61,3.2,2.29
1,47,66,3.5,2.98
2,44,44,3.1,3.66
1,41,56,2.9,0.38
2,62,59,3.7,2.65
2,60,68,3.7,1.95
2,44,60,3.2,3.06
2,63,58,3.7,3.87
1,45,58,2.4,2.64
1,43,55,2.4,2.54
1,36,45,2.5,2.42
2,58,53,3.3,3.44
2,62,68,4.0,3.91
1,41,61,4.0,2.46
1,58,59,3.75,2.79
2,46,43,2.7,1.79
2,45,61,4.0,3.22
1,40,41,2.3,0.57
1,63,68,4.0,3.48
2,53,54,3.5,2.13
2,57,72,4.0,3.18
1,39,56,3.75,3.81
1,45,66,2.7,2.49
1,52,67,3.0,1.87
1,55,53,3.5,2.63
1,44,48,2.2,1.91
2,56,45,3.8,3.1
1,64,62,4.0,3.12
2,46,51,3.1,2.19
1,64,61,3.6,3.21
1,60,66,2.7,3.4
1,52,60,3.1,2.37
2,46,61,3.75,2.67
2,58,58,3.5,3.59
2,34,42,3.1,1.93
2,54,64,3.8,3.17
2,50,33,2.75,2.04
1,59,63,3.2,1.96
2,49,45,3.7,2.07
1,37,42,2.2,2.35
2,55,55,3.75,3.06
1,32,66,2.9,2.48
1,41,68,3.3,2.58
2,47,53,2.8,2.15
2,49,41,2.7,2.42
1,53,68,3.2,2.09
2,55,57,2.5,2.27
1,43,52,2.7,2.31
2,43,56,3.0,2.24
2,50,53,3.5,1.92
1,44,41,2.0,1.73
1,64,59,2.5,3.38
2,49,48,3.8,3.02
1,49,55,3.2,2.29
1,43,45,2.5,1.33
1,64,71,3.3,2.83
2,54,57,3.33,3.34
2,40,47,3.2,1.51
2,50,53,3.2,1.16
2,57,64,3.75,1.94
1,49,59,3.8,1.74
1,50,55,3.2,2.17
2,53,62,3.3,2.28
1,54,59,3.5,2.75
1,51,56,3.0,2.8
2,38,40,3.8,2.53
1,61,65,3.7,2.43
2,44,44,2.7,1.84
1,56,61,3.7,2.05
1,48,63,3.0,2.48
1,55,67,3.3,2.75
1,61,51,2.3,3.24
1,46,44,3.6,2.69
1,51,66,3.0,2.21
2,67,70,3.8,3.49
1,49,40,2.3,2.24
1,63,50,2.9,2.85
2,40,50,2.5,1.62
2,53,65,3.7,3.03
2,48,42,3.6,3.1
2,43,43,2.5,1.59
1,46,63,2.8,2.21
1,67,60,3.3,2.43
1,46,60,3.5,2.46
2,58,58,4.0,2.96
2,43,61,2.8,2.2
1,46,43,2.8,2.31
1,49,49,3.25,2.35
2,59,64,2.75,2.57
1,39,55,2.8,3.04
2,39,52,3.0,2.14
2,67,52,4.0,2.27
2,55,54,3.0,1.83
1,57,61,3.0,2.75
2,51,52,2.5,1.87
1,52,67,3.5,3.22
1,59,48,2.5,3.1
1,45,64,2.9,2.29
2,48,50,2.8,2.1
1,52,52,3.5,2.96
2,41,56,2.0,0.47
2,47,48,3.5,2.88
2,52,70,4.0,3.83
1,49,57,3.4,1.6
1,38,53,2.5,2.23
1,44,50,2.5,3.07
1,56,67,3.8,2.6
1,45,58,2.75,1.15
1,59,67,3.5,2.88
1,53,72,3.7,3.71
2,53,38,4.0,3.41
2,66,66,3.5,3.65
2,36,35,2.3,1.65
2,57,54,3.7,2.15
2,51,51,3.5,2.57
2,76,68,4.0,3.66
1,60,66,4.0,3.31
1,46,52,3.0,2.84
1,54,50,2.7,1.83
2,55,64,3.6,3.35
1,54,63,3.3,1.35
2,52,43,3.4,3.1
2,51,59,3.7,3.1
1,49,51,3.0,2.19
2,41,50,3.0,3.35
2,57,59,4.0,3.91
1,54,52,2.7,1.83
2,32,38,2.2,1.29
2,68,74,4.0,2.55
2,49,51,3.25,2.68
2,41,45,3.5,2.96
2,47,48,3.0,2.45
1,51,54,3.25,2.7
1,57,59,3.0,2.24
1,36,38,2.9,2.04
1,44,59,3.67,2.38
1,47,55,2.5,1.79
1,47,44,3.0,2.0
1,44,54,3.04,2.24
1,43,46,2.5,1.63
2,39,31,2.3,1.13
1,49,48,2.5,1.73
1,60,53,2.2,1.36
1,50,60,3.0,2.81
2,40,48,3.1,1.17
2,60,59,3.5,2.48
1,61,57,3.2,1.98
1,42,57,2.8,1.72
1,46,56,3.5,2.69
2,50,56,4.0,2.98
2,44,57,4.0,3.4
1,68,73,4.0,3.48
2,43,45,2.5,2.15
1,54,60,3.0,2.4
1,49,55,3.0,2.42
2,50,50,3.7,2.19
